CERN - 2018-02-22 11:04:06	subject Field	concept definition	concept source	Concept create by user	Concept create date	Concept modified by user	Concept modified date	Lang	Term Status	Term Form	Term definition	Term create by user	Term create date	Term modified by user	Term modified date
_363	Bodies/organisations			Odile Martin	2008-01-07	Odile Martin	2010-01-20	FR	p	Groupe d'étude sur la demande d'adhésion de la Roumanie		Odile Martin	2008-01-07	Odile Martin	2008-01-07
_364	Finance			Natalie Garde	2008-01-11	Natalie Garde	2009-01-26	EN-GB	p	splitting		Natalie Garde	2008-01-11	Natalie Garde	2008-01-11
_364	Finance			Natalie Garde	2008-01-11	Natalie Garde	2009-01-26	FR	p	fractionnement		Natalie Garde	2008-01-11	Natalie Garde	2008-01-11
_365	Accelerator technology			Natalie Garde	2008-01-21	Natalie Garde	2008-01-07	EN-GB	p	snap-back		Natalie Garde	2008-01-21	Natalie Garde	2008-01-21
_365	Accelerator technology			Natalie Garde	2008-01-21	Natalie Garde	2008-01-07	FR	p	snap-back		Natalie Garde	2008-01-21	Natalie Garde	2008-01-21
_366	Bodies/organisations			Natalie Garde	2008-01-02	Natalie Garde	2008-01-02	EN-GB	p	LHC Committee					
_366	Bodies/organisations			Natalie Garde	2008-01-02	Natalie Garde	2008-01-02	EN-GB	p	LHCC					
_366	Bodies/organisations			Natalie Garde	2008-01-02	Natalie Garde	2008-01-02	FR	p	Comité des expériences LHC					
_366	Bodies/organisations			Natalie Garde	2008-01-02	Natalie Garde	2008-01-02	FR	p	LHCC					
_368	Electronics/Electricity			Marion Dudan	2008-01-22	Marion Dudan	2008-01-22	EN-GB	p	thyristor stack	The thyristor stacks consist of a number of series-connected thyristors, which normally have additional components in parallel to them. These components serve to reduce the voltage stresses caused by the turn-off process of the thyristor and to share static and transient voltages equally between the thyristors.(http://library.abb.com/global/scot/scot256.nsf/veritydisplay/cd2fb9c9aeb45260c12573400023e24a/$File/5SYA2006-03%20The%20Bidirectionally%20Controlled%20Thyristor%20August%2007.pdf)	Marion Dudan	2008-01-22	Marion Dudan	2008-01-22
_368	Electronics/Electricity			Marion Dudan	2008-01-22	Marion Dudan	2008-01-22	FR	p	colonne de thyristors		Marion Dudan	2008-01-22	Marion Dudan	2008-01-22
_369	Science (excl. physics)			Odile Martin	2008-01-01	Odile Martin	2009-01-26	EN-GB	p	as-built		Odile Martin	2008-01-01	Odile Martin	2008-01-12
_369	Science (excl. physics)			Odile Martin	2008-01-01	Odile Martin	2009-01-26	EN-GB	p	as-fitted	As amended after completion of an industrial facility in order to provide an accurate record of the details of the entire installation in their final form. Dictionary of Scientific and Technical Terms, McGraw-Hill, 5th Edition.	Odile Martin	2008-01-12	Odile Martin	2008-01-12
_369	Science (excl. physics)			Odile Martin	2008-01-01	Odile Martin	2009-01-26	FR	p	conforme à l'exécution		Odile Martin	2008-01-01	Odile Martin	2008-01-12
_370	Science (excl. physics)			Odile Martin	2008-01-01	Odile Martin	2009-01-26	EN-GB	p	predictive maintenance		Odile Martin	2008-01-01	Odile Martin	2008-01-01
_370	Science (excl. physics)			Odile Martin	2008-01-01	Odile Martin	2009-01-26	FR	p	maintenance prévisionnelle	Maintenance conditionnelle exécutée en suivant les prévisions extrapolées de l'analyse et de l'évaluation de paramètres significatifs de la dégradation du bien. Extrait norme NF EN 13306 X 60-319.	Odile Martin	2008-01-01	Odile Martin	2008-01-01
_371	Civil engineering			Odile Martin	2008-01-01	Odile Martin	2009-01-27	EN-GB	p	piling		Odile Martin	2008-01-01	Odile Martin	2008-01-01
_371	Civil engineering			Odile Martin	2008-01-01	Odile Martin	2009-01-27	FR	p	pose de pieux béton		Odile Martin	2008-01-01	Odile Martin	2008-01-01
_372	Accelerator technology			Odile Martin	2008-01-01	Odile Martin	2009-01-26	EN-GB	p	thermoionic electron source		Odile Martin	2008-01-01	Odile Martin	2008-01-01
