CERN - 2018-02-22 11:04:06	subject Field	concept definition	concept source	Concept create by user	Concept create date	Concept modified by user	Concept modified date	Lang	Term Status	Term Form	Term definition	Term create by user	Term create date	Term modified by user	Term modified date
_404	Bodies/organisations			Odile Martin	2009-01-23	Odile Martin	2010-01-21	FR	p	département GS		Odile Martin	2009-01-23	Odile Martin	2009-01-23
_404	Bodies/organisations			Odile Martin	2009-01-23	Odile Martin	2010-01-21	FR	p	département GI		Odile Martin	2009-01-23	Odile Martin	2009-01-23
_405	Bodies/organisations			Odile Martin	2009-01-23	Odile Martin	2010-01-21	EN-GB	p	Coordinator for External Relations		Odile Martin	2009-01-23	Odile Martin	2009-01-23
_405	Bodies/organisations			Odile Martin	2009-01-23	Odile Martin	2010-01-21	FR	p	Coordinateur des relations extérieures		Odile Martin	2009-01-23	Odile Martin	2009-01-23
_406	Bodies/organisations			Odile Martin	2009-01-23	Odile Martin	2010-01-21	EN-GB	p	Directorate Office		Odile Martin	2009-01-23	Odile Martin	2009-01-23
_406	Bodies/organisations			Odile Martin	2009-01-23	Odile Martin	2010-01-21	EN-GB	p	DO		Odile Martin	2009-01-23	Odile Martin	2009-01-23
_406	Bodies/organisations			Odile Martin	2009-01-23	Odile Martin	2010-01-21	FR	p	Bureau du Directoire		Odile Martin	2009-01-23	Odile Martin	2009-01-23
_407	Bodies/organisations			Odile Martin	2009-01-23	Odile Martin	2009-01-02	EN-GB	p	Director for Accelerators and Technology		Odile Martin	2009-01-23	Odile Martin	2009-01-23
_407	Bodies/organisations			Odile Martin	2009-01-23	Odile Martin	2009-01-02	FR	p	directeur des accélérateurs et de la technologie		Odile Martin	2009-01-23	Odile Martin	2009-01-23
_408	Bodies/organisations			Odile Martin	2009-01-23	Odile Martin	2010-01-21	EN-GB	p	Director for Research and Computing		Odile Martin	2009-01-23	Odile Martin	2009-01-23
_408	Bodies/organisations			Odile Martin	2009-01-23	Odile Martin	2010-01-21	EN-GB	p	Director for Research and scientific Computing		Odile Martin	2009-01-23	Odile Martin	2010-01-21
_408	Bodies/organisations			Odile Martin	2009-01-23	Odile Martin	2010-01-21	FR	p	directeur de la recherche et de l’informatique		Odile Martin	2009-01-23	Odile Martin	2009-01-23
_409	Bodies/organisations			Odile Martin	2009-01-23	Odile Martin	2010-01-21	EN-GB	p	Director for Administration and General Infrastructure		Odile Martin	2009-01-23	Odile Martin	2009-01-23
_409	Bodies/organisations			Odile Martin	2009-01-23	Odile Martin	2010-01-21	FR	p	directeur de l’administration et de l’infrastructure générale		Odile Martin	2009-01-23	Odile Martin	2010-01-21
_410	Bodies/organisations			Odile Martin	2009-01-23	Odile Martin	2010-01-21	EN-GB	p	Directorate					
_410	Bodies/organisations			Odile Martin	2009-01-23	Odile Martin	2010-01-21	FR	p	Directoire					
_411	Accelerator technology			Natalie Garde	2009-01-23	Natalie Garde	2009-01-23	EN-GB	p	storage ring					
